ObjectId,mode,season,route_id,route_name,direction_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,stop_id,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,odds_on,odds_off,std_dev_ons,mean_ons,std_dev_offs,mean_offs
1,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Allston Street,place-alsgr,0,17,77,0,0,4,0.0,0.0,0.0,0.0,1.0,1.0
2,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Arlington,place-armnl,2675,8021,77,35,104,381,0.0037413148049171,0.0111170497060395,13.0,20.0,15.14375558880073,86.66666666666667
3,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Babcock Street,place-babck,0,151,77,0,2,8,0.0,0.0002137894174238,0.0,0.0,0.5773502691896258,2.3333333333333335
4,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Back of the Hill,place-bckhl,0,36,77,0,0,4,0.0,0.0,0.0,0.0,1.1547005383792517,0.6666666666666666
5,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Beaconsfield,place-bcnfd,12,67,77,0,1,44,0.0,0.0001068947087119,0.0,0.0,0.5773502691896257,1.3333333333333333
6,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Washington Square,place-bcnwa,0,22,77,0,0,2,0.0,0.0,0.0,0.0,1.1547005383792517,0.6666666666666666
7,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Blandford Street,place-bland,3,52,77,0,1,15,0.0,0.0001068947087119,0.5773502691896258,0.3333333333333333,0.0,1.0
8,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Brandon Hall,place-bndhl,0,1,77,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
9,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Boylston,place-boyls,1632,3604,77,21,47,450,0.0022447888829502,0.0050240513094601,3.5118845842842465,20.666666666666668,5.196152422706632,53.0
10,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Packards Corner,place-brico,0,64,77,0,1,8,0.0,0.0001068947087119,0.0,0.0,0.5773502691896257,1.3333333333333333
11,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Brookline Hills,place-brkhl,13,80,77,0,1,44,0.0,0.0001068947087119,2.3094010767585034,1.3333333333333333,0.5773502691896257,1.6666666666666667
12,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Brigham Circle,place-brmnl,1,1868,77,0,24,11,0.0,0.002565473009086,0.0,0.0,9.237604307034012,29.333333333333332
13,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Boston Univ. Central,place-bucen,4,138,77,0,2,12,0.0,0.0002137894174238,0.0,0.0,1.0,2.0
14,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Boston Univ. East,place-buest,0,72,77,0,1,14,0.0,0.0001068947087119,0.5773502691896258,0.3333333333333333,1.5275252316519468,2.3333333333333335
15,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Boston Univ. West,place-buwst,0,49,77,0,1,12,0.0,0.0001068947087119,0.0,0.0,0.5773502691896257,1.3333333333333333
16,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Brookline Village,place-bvmnl,269,149,77,3,2,45,0.0003206841261357,0.0002137894174238,1.7320508075688772,4.0,1.0,3.0
17,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Chestnut Hill,place-chhil,17,255,77,0,3,37,0.0,0.0003206841261357,0.0,0.0,1.0,4.0
18,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Chestnut Hill Ave.,place-chill,0,21,77,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
19,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Chiswick Road,place-chswk,0,84,77,0,1,1,0.0,0.0001068947087119,0.0,0.0,0.5773502691896258,0.3333333333333333
20,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Cleveland Circle,place-clmnl,0,31,77,0,0,0,0.0,0.0,0.0,0.0,0.5773502691896258,0.6666666666666666
21,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Copley,place-coecl,1414,8290,77,18,108,160,0.0019241047568145,0.0115446285408872,1.5275252316519465,19.666666666666668,5.131601439446884,109.33333333333333
22,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Coolidge Corner,place-cool,0,233,77,0,3,3,0.0,0.0003206841261357,0.0,0.0,1.5275252316519465,3.3333333333333335
23,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Dean Road,place-denrd,0,1,77,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
24,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Eliot,place-eliot,0,109,77,0,1,17,0.0,0.0001068947087119,0.0,0.0,1.7320508075688772,2.0
25,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Englewood Ave.,place-engav,0,91,77,0,1,0,0.0,0.0001068947087119,0.0,0.0,0.5773502691896257,1.3333333333333333
26,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Fairbanks Street,place-fbkst,0,4,77,0,0,2,0.0,0.0,0.0,0.0,0.5773502691896258,0.3333333333333333
27,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Fenwood Road,place-fenwd,0,145,77,0,2,9,0.0,0.0002137894174238,0.0,0.0,0.5773502691896258,2.6666666666666665
28,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Fenway,place-fenwy,4,251,77,0,3,49,0.0,0.0003206841261357,0.5773502691896258,0.3333333333333333,3.2145502536643185,6.666666666666667
29,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Government Center,place-gover,29800,3744,77,387,49,681,0.0413682522715125,0.005237840726884,209.70399773649206,191.16666666666666,376.0308497982579,388.0
30,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Griggs Street,place-grigg,0,13,77,0,0,5,0.0,0.0,0.0,0.0,0.5773502691896258,0.3333333333333333
31,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Haymarket,place-haecl,18429,560,77,239,7,343,0.0255478353821485,0.0007482629609834,99.43976401151939,165.33333333333334,33.98676212880538,42.5
32,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Harvard Ave.,place-harvd,0,220,77,0,3,5,0.0,0.0003206841261357,0.0,0.0,1.5275252316519465,4.333333333333333
33,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Heath Street,place-hsmnl,0,290,77,0,4,0,0.0,0.0004275788348476,0.0,0.0,1.0,4.0
34,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Hawes Street,place-hwsst,0,67,77,0,1,6,0.0,0.0001068947087119,0.0,0.0,0.5773502691896257,1.3333333333333333
35,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Hynes Convention Center,place-hymnl,526,2342,77,7,30,151,0.0007482629609834,0.0032068412613575,2.0,9.0,2.6457513110645907,33.0
36,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Kenmore,place-kencl,164,5578,77,2,72,27,0.0002137894174238,0.0076964190272581,1.1547005383792515,3.3333333333333335,6.429100507328636,69.33333333333333
37,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Kent Street,place-kntst,0,41,77,0,1,6,0.0,0.0001068947087119,0.0,0.0,0.0,1.0
38,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Boston College,place-lake,0,39,77,0,1,0,0.0,0.0001068947087119,0.0,0.0,0.5773502691896258,0.6666666666666666
39,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Lechmere,place-lech,6004,0,77,78,0,78,0.0083377872795296,0.0,3.605551275463989,75.0,0.0,0.0
40,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Longwood Medical Area,place-lngmd,9,989,77,0,13,35,0.0,0.0013896312132549,0.5773502691896258,0.3333333333333333,8.020806277010644,21.333333333333332
41,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Longwood,place-longw,14,453,77,0,6,44,0.0,0.0006413682522715,0.5773502691896258,0.3333333333333333,2.8867513459481287,7.666666666666667
42,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Museum of Fine Arts,place-mfa,51,333,77,1,4,48,0.0001068947087119,0.0004275788348476,0.0,1.0,3.5118845842842465,7.666666666666667
43,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Mission Park,place-mispk,0,235,77,0,3,6,0.0,0.0003206841261357,0.0,0.0,0.5773502691896258,2.3333333333333335
44,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Newton Highlands,place-newtn,11,895,77,0,12,19,0.0,0.001282736504543,0.0,0.0,4.725815626252608,13.666666666666666
45,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Newton Centre,place-newto,0,499,77,0,6,30,0.0,0.0006413682522715,0.0,0.0,3.055050463303893,9.333333333333334
46,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,North Station,place-north,3795,894,77,49,12,111,0.005237840726884,0.001282736504543,26.118320517725994,33.166666666666664,88.38872477113055,89.16666666666667
47,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Northeastern University,place-nuniv,14,984,77,0,13,51,0.0,0.0013896312132549,0.5773502691896258,0.3333333333333333,4.163331998932266,16.333333333333332
48,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Park Street,place-pktrm,9557,25379,77,124,330,476,0.0132549438802779,0.0352752538749331,17.204650534085253,140.0,115.50483395367773,214.16666666666666
49,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Pleasant Street,place-plsgr,0,40,77,0,1,10,0.0,0.0001068947087119,0.0,0.0,0.5773502691896257,1.3333333333333333
50,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Prudential,place-prmnl,93,3430,77,1,45,74,0.0001068947087119,0.0048102618920363,1.5275252316519465,2.3333333333333335,4.163331998932266,41.666666666666664
51,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Kent Street,place-kntst,523,1040,77,7,14,360,7.474400179385604e-05,0.0001494880035877,2.6457513110645907,10.0,11.930353445448855,27.333333333333332
52,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Boston College,place-lake,0,1571,77,0,20,0,0.0,0.0002135542908395,0.0,0.0,15.631165450257807,36.666666666666664
53,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Lechmere,place-lech,60734,0,77,789,0,789,0.0084247167736217,0.0,19.139836293274126,804.6666666666666,0.0,0.0
54,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Longwood Medical Area,place-lngmd,838,7853,77,11,102,298,0.0001174548599617,0.0010891268832819,7.54983443527075,19.0,41.2189276910499,149.0
55,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Longwood,place-longw,5734,5023,77,74,65,675,0.0007901508761064,0.0006940514452286,50.46120622154541,131.33333333333334,23.692474191889147,92.33333333333333
56,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Museum of Fine Arts,place-mfa,775,5122,77,10,67,390,0.0001067771454197,0.0007154068743126,12.529964086141668,22.0,35.16153201061258,106.66666666666667
57,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Mission Park,place-mispk,84,5006,77,1,65,105,1.0677714541979436e-05,0.0006940514452286,3.0,4.0,16.64331697709324,84.0
58,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Newton Highlands,place-newtn,335,4846,77,4,63,294,4.271085816791774e-05,0.0006726960161447,5.131601439446884,8.333333333333334,34.87119154832539,103.0
59,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Newton Centre,place-newto,596,4894,77,8,64,352,8.542171633583548e-05,0.0006833737306866,5.291502622129181,10.0,65.89638330996121,137.66666666666666
60,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_04,MIDDAY_BASE,Riverway,place-rvrwy,91,3905,77,1,51,63,8.07161133577096e-06,0.0004116521781243,3.4641016151377544,3.0,10.214368964029708,55.333333333333336
61,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,North Station,place-north,49784,7061,77,647,92,1347,0.0069084813086606,0.0009823497378621,80.9503963342161,739.1666666666666,123.7396460314963,225.5
62,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Northeastern University,place-nuniv,2397,10702,77,31,139,446,0.0003310091508013,0.0014842023213351,24.0,55.0,37.87259343289463,169.66666666666666
63,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Park Street,place-pktrm,195121,114785,77,2534,1491,4422,0.0270573286493758,0.0159204723820913,265.9553847295945,2784.6666666666665,369.2724829535321,1847.8333333333333
64,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Pleasant Street,place-plsgr,1039,3295,77,13,43,669,0.0001388102890457,0.0004591417253051,9.16515138991168,23.0,35.07610772781572,79.33333333333333
65,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Prudential,place-prmnl,4253,29944,77,55,389,748,0.0005872742998088,0.00415363095683,11.372481406154654,67.66666666666667,20.074859899884732,370.0
66,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Riverside,place-river,0,4054,77,0,53,0,0.0,0.0005659188707249,0.0,0.0,5.033222956847167,58.333333333333336
67,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Reservoir,place-rsmnl,1768,8883,77,23,115,449,0.0002455874344655,0.0012279371723276,14.047538337136984,36.333333333333336,61.45187819207264,182.66666666666666
68,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Riverway,place-rvrwy,58,3909,77,1,51,55,1.0677714541979436e-05,0.0005445634416409,1.1547005383792517,1.6666666666666667,13.428824718989123,56.666666666666664
69,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Saint Mary Street,place-smary,2818,5899,77,37,77,379,0.0003950754380532,0.0008221840197324,24.440403706431145,42.333333333333336,29.143323992525858,110.33333333333333
70,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,South Street,place-sougr,0,1110,77,0,14,20,0.0,0.0001494880035877,0.0,0.0,10.408329997330664,25.666666666666668
71,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Science Park,place-spmnl,56391,56160,77,732,729,792,0.0078160870447289,0.007784053901103,224.97185009092433,475.6666666666667,280.25167260874645,408.0
72,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Sutherland Road,place-sthld,109,2181,77,1,28,102,1.0677714541979436e-05,0.0002989760071754,3.5118845842842465,4.666666666666667,25.357444666211933,57.0
73,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Saint Paul Street,place-stplb,1485,3680,77,19,48,698,0.0002028765762976,0.000512530298015,13.650396819628847,31.333333333333332,21.656407827707714,73.0
74,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Saint Paul Street,place-stpul,519,1900,77,7,25,342,7.474400179385604e-05,0.0002669428635494,3.511884584284246,10.333333333333334,21.221058723196006,49.333333333333336
