stop_name,stop_lat,stop_lon,Routes
Alewife,42.39583,-71.141287,
Allston Street,42.348701,-71.137955,
Amory Street,42.350992,-71.114748,
Andrew,42.330154,-71.057655,
Airport,42.374262,-71.030395,
Aquarium,42.359784,-71.051652,
Arlington,42.351902,-71.070893,
Ashmont,42.28452,-71.063777,
Assembly,42.392811,-71.077257,
Babcock Street,42.351616,-71.119924,
Ball Square,42.399889,-71.111003,
Back Bay,42.34735,-71.075727,
Back of the Hill,42.330139,-71.111313,
Beaconsfield,42.335765,-71.140455,
Washington Square,42.339394,-71.13533,
Blandford Street,42.349293,-71.100258,
Beachmont,42.397542,-70.992319,
Brandon Hall,42.340023,-71.129082,
Bowdoin,42.361365,-71.062037,
Boylston,42.35302,-71.06459,
Broadway,42.342622,-71.056967,
Packard's Corner,42.351967,-71.125031,
Brookline Hills,42.331316,-71.126683,
Brigham Circle,42.334229,-71.104609,
Braintree,42.207854,-71.001138,
Boston University Central,42.350082,-71.106865,
Boston University East,42.349735,-71.103889,
Butler,42.272429,-71.062519,
Brookline Village,42.332608,-71.116857,
Capen Street,42.267563,-71.087338,
Community College,42.373622,-71.069533,
Cedar Grove,42.279629,-71.060394,
Central Avenue,42.270027,-71.073444,
Chestnut Hill,42.326753,-71.164699,
Chestnut Hill Avenue,42.338169,-71.15316,
Charles/MGH,42.361166,-71.070628,
Chinatown,42.352547,-71.062752,
Chiswick Road,42.340805,-71.150711,
Cleveland Circle,42.336142,-71.149326,
Central,42.365486,-71.103802,
Copley,42.349974,-71.077447,
Silver Line Way,42.347154,-71.038385,
Coolidge Corner,42.342116,-71.121263,
Davis,42.39674,-71.121815,
Dean Road,42.337807,-71.141853,
Downtown Crossing,42.355518,-71.060225,
Eliot,42.319045,-71.216684,
Englewood Avenue,42.336971,-71.14566,
East Somerville,42.379467,-71.086625,
Fairbanks Street,42.339725,-71.131073,
Fenwood Road,42.333706,-71.105728,
Fenway,42.345403,-71.104213,
Fields Corner,42.300093,-71.061667,
Forest Hills,42.300713,-71.113943,
Gilman Square,42.387928,-71.096766,
Government Center,42.359705,-71.059215,
Griggs Street,42.348545,-71.134949,
Green Street,42.310525,-71.107414,
Haymarket,42.363021,-71.05829,
Harvard,42.373362,-71.118956,
Harvard Avenue,42.350243,-71.131355,
Heath Street,42.328316,-71.110252,
Hawes Street,42.344906,-71.111145,
Hynes Convention Center,42.347888,-71.087903,
Jackson Square,42.323132,-71.099592,
JFK/UMass,42.320685,-71.052391,
Kenmore,42.348949,-71.095169,
Kendall/MIT,42.362491,-71.086176,
Kent Street,42.344074,-71.114197,
Boston College,42.340081,-71.166769,
Lechmere,42.371572,-71.076584,
Longwood Medical Area,42.33596,-71.100052,
Longwood,42.341702,-71.109956,
Massachusetts Avenue,42.341512,-71.083423,
Mattapan,42.26762,-71.092486,
Medford/Tufts,42.407975,-71.117044,
Museum of Fine Arts,42.337711,-71.095512,
Magoun Square,42.393682,-71.106388,
Milton,42.270349,-71.067266,
Mission Park,42.333195,-71.109756,
Malden Center,42.426632,-71.07411,
Maverick,42.369119,-71.03953,
Newton Highlands,42.322381,-71.205509,
Newton Centre,42.329443,-71.192414,
North Station,42.365577,-71.06129,
North Quincy,42.275275,-71.029583,
Nubian,42.329544,-71.083982,
Northeastern University,42.340401,-71.088806,
Oak Grove,42.43668,-71.071097,
Orient Heights,42.386867,-71.004736,
Park Street,42.356395,-71.062424,
Porter,42.3884,-71.119149,
Prudential,42.34557,-71.081696,
Quincy Adams,42.233391,-71.007153,
Quincy Center,42.251809,-71.005409,
Revere Beach,42.407843,-70.992533,
Roxbury Crossing,42.331397,-71.095451,
Riverside,42.337352,-71.252685,
Reservoir,42.335088,-71.148758,
Ruggles,42.336377,-71.088961,
Riverway,42.331684,-71.111931,
Stony Brook,42.317062,-71.104248,
Suffolk Downs,42.390501,-70.997123,
Savin Hill,42.31129,-71.053331,
Saint Mary's Street,42.345974,-71.107353,
Shawmut,42.293126,-71.065738,
South Street,42.3396,-71.157661,
Science Park/West End,42.366664,-71.067666,
South Station,42.352271,-71.055242,
State,42.358978,-71.057598,
Sutherland Road,42.341614,-71.146202,
Saint Paul Street,42.343327,-71.116997,
Sullivan Square,42.383975,-71.076994,
Summit Avenue,42.34111,-71.12561,
Symphony,42.342687,-71.085056,
Tappan Street,42.338459,-71.138702,
Tufts Medical Center,42.349662,-71.063917,
Union Square,42.377359,-71.094761,
Valley Road,42.268347,-71.081343,
Waban,42.325845,-71.230609,
Washington Street,42.343864,-71.142853,
Wellington,42.40237,-71.077082,
Wood Island,42.37964,-71.022865,
Wollaston,42.266514,-71.020337,
Wonderland,42.41342,-70.991648,
Woodland,42.332902,-71.243362,
Warren Street,42.348343,-71.140457,
