stop_name,route_name
Allston Street,Green Line
Arlington,Green Line
Babcock Street,Green Line
Back of the Hill,Green Line
Beaconsfield,Green Line
Washington Square,Green Line
Blandford Street,Green Line
Brandon Hall,Green Line
Boylston,Green Line
Packards Corner,Green Line
Brookline Hills,Green Line
Brigham Circle,Green Line
Boston Univ. Central,Green Line
Boston Univ. East,Green Line
Boston Univ. West,Green Line
Brookline Village,Green Line
Chestnut Hill,Green Line
Chestnut Hill Ave.,Green Line
Chiswick Road,Green Line
Cleveland Circle,Green Line
Copley,Green Line
Coolidge Corner,Green Line
Dean Road,Green Line
Eliot,Green Line
Englewood Ave.,Green Line
Fairbanks Street,Green Line
Fenwood Road,Green Line
Fenway,Green Line
Government Center,Green Line
Griggs Street,Green Line
Haymarket,Green Line
Harvard Ave.,Green Line
Heath Street,Green Line
Hawes Street,Green Line
Hynes Convention Center,Green Line
Kenmore,Green Line
Kent Street,Green Line
Boston College,Green Line
Lechmere,Green Line
Longwood Medical Area,Green Line
Longwood,Green Line
Museum of Fine Arts,Green Line
Mission Park,Green Line
Newton Highlands,Green Line
Newton Centre,Green Line
North Station,Green Line
Northeastern University,Green Line
Park Street,Green Line
Pleasant Street,Green Line
Prudential,Green Line
Riverway,Green Line
Riverside,Green Line
Reservoir,Green Line
Saint Mary Street,Green Line
South Street,Green Line
Science Park,Green Line
Sutherland Road,Green Line
Saint Paul Street,Green Line
Summit Ave.,Green Line
Symphony,Green Line
Tappan Street,Green Line
Waban,Green Line
Washington Street,Green Line
Woodland,Green Line
Warren Street,Green Line
Airport,Blue Line
Aquarium,Blue Line
Beachmont,Blue Line
Bowdoin,Blue Line
Government Center,Blue Line
Maverick,Blue Line
Orient Heights,Blue Line
Revere Beach,Blue Line
Suffolk Downs,Blue Line
State Street,Blue Line
Wood Island,Blue Line
Wonderland,Blue Line
Malden Center,Orange Line
North Station,Orange Line
Oak Grove,Orange Line
Roxbury Crossing,Orange Line
Ruggles,Orange Line
Stony Brook,Orange Line
State Street,Orange Line
Sullivan Square,Orange Line
Tufts Medical Center,Orange Line
Wellington,Orange Line
Assembly,Orange Line
Back Bay,Orange Line
Community College,Orange Line
Chinatown,Orange Line
Downtown Crossing,Orange Line
Forest Hills,Orange Line
Green Street,Orange Line
Haymarket,Orange Line
Jackson Square,Orange Line
Massachusetts Ave.,Orange Line
Ashmont,Red Line
Broadway,Red Line
Braintree,Red Line
Charles/MGH,Red Line
Central,Red Line
Davis,Red Line
Downtown Crossing,Red Line
Fields Corner,Red Line
Harvard,Red Line
JFK/Umass,Red Line
Kendall/MIT,Red Line
North Quincy,Red Line
Park Street,Red Line
Porter,Red Line
Quincy Adams,Red Line
Quincy Center,Red Line
Savin Hill,Red Line
Shawmut,Red Line
South Station,Red Line
Wollaston,Red Line
Alewife,Red Line
Andrew,Red Line
