Half Hour,Stop Name,Route Or Line,Exits,Entries,dayofweek,day
11/1/2023 03:00,Government Center,Blue Line,0,0,Wednesday,Weekday
11/1/2023 03:00,Orient Heights,Blue Line,0,1,Wednesday,Weekday
11/1/2023 03:00,Orient Heights,Blue Line,0,8,Wednesday,Weekday
11/1/2023 03:00,State Street,Blue Line,0,0,Wednesday,Weekday
11/1/2023 03:00,State Street,Blue Line,0,0,Wednesday,Weekday
11/1/2023 03:00,Suffolk Downs,Blue Line,3,0,Wednesday,Weekday
11/1/2023 03:00,Suffolk Downs,Blue Line,2,1,Wednesday,Weekday
11/1/2023 03:00,Suffolk Downs,Blue Line,4,1,Wednesday,Weekday
11/1/2023 03:00,Wood Island,Blue Line,1,0,Wednesday,Weekday
11/1/2023 03:00,Wood Island,Blue Line,1,0,Wednesday,Weekday
11/1/2023 03:00,Government Center,Green Line,0,0,Wednesday,Weekday
11/1/2023 03:00,State Street,Orange Line,1,0,Wednesday,Weekday
11/1/2023 03:00,State Street,Orange Line,1,1,Wednesday,Weekday
11/1/2023 03:00,South Station,Silver Line,0,0,Wednesday,Weekday
11/1/2023 03:30,Bowdoin,Blue Line,0,4,Wednesday,Weekday
11/1/2023 03:30,Government Center,Blue Line,0,0,Wednesday,Weekday
11/1/2023 03:30,Government Center,Blue Line,0,0,Wednesday,Weekday
11/1/2023 03:30,Government Center,Blue Line,0,0,Wednesday,Weekday
11/1/2023 03:30,Maverick,Blue Line,0,4,Wednesday,Weekday
11/1/2023 03:30,State Street,Blue Line,0,0,Wednesday,Weekday
11/1/2023 03:30,State Street,Blue Line,0,0,Wednesday,Weekday
11/1/2023 03:30,Government Center,Green Line,1,0,Wednesday,Weekday
11/1/2023 03:30,Government Center,Green Line,0,0,Wednesday,Weekday
11/1/2023 03:30,Government Center,Green Line,0,0,Wednesday,Weekday
11/1/2023 03:30,State Street,Orange Line,1,0,Wednesday,Weekday
11/1/2023 03:30,State Street,Orange Line,4,2,Wednesday,Weekday
11/1/2023 03:30,World Trade Center,Silver Line,1,0,Wednesday,Weekday
11/1/2023 04:00,Beachmont,Blue Line,1,1,Wednesday,Weekday
11/1/2023 04:00,Government Center,Blue Line,0,0,Wednesday,Weekday
11/1/2023 04:00,Government Center,Blue Line,0,0,Wednesday,Weekday
11/1/2023 04:00,Government Center,Blue Line,0,0,Wednesday,Weekday
11/1/2023 04:00,Revere Beach,Blue Line,0,1,Wednesday,Weekday
11/1/2023 04:00,State Street,Blue Line,0,0,Wednesday,Weekday
11/1/2023 04:00,Wood Island,Blue Line,0,1,Wednesday,Weekday
11/1/2023 04:00,Government Center,Green Line,1,0,Wednesday,Weekday
11/1/2023 04:00,Government Center,Green Line,1,1,Wednesday,Weekday
11/1/2023 04:00,Government Center,Green Line,1,-1,Wednesday,Weekday
11/1/2023 04:00,State Street,Orange Line,1,1,Wednesday,Weekday
11/1/2023 04:00,Courthouse,Silver Line,0,1,Wednesday,Weekday
11/1/2023 04:00,World Trade Center,Silver Line,0,2,Wednesday,Weekday
11/1/2023 04:00,World Trade Center,Silver Line,0,2,Wednesday,Weekday
11/1/2023 04:30,Airport,Blue Line,1,8,Wednesday,Weekday
11/1/2023 04:30,Airport,Blue Line,0,4,Wednesday,Weekday
11/1/2023 04:30,Aquarium,Blue Line,1,0,Wednesday,Weekday
11/1/2023 04:30,Beachmont,Blue Line,0,1,Wednesday,Weekday
11/1/2023 04:30,Maverick,Blue Line,1,2,Wednesday,Weekday
11/1/2023 04:30,Orient Heights,Blue Line,0,4,Wednesday,Weekday
11/1/2023 04:30,Orient Heights,Blue Line,0,5,Wednesday,Weekday
11/1/2023 04:30,Orient Heights,Blue Line,0,3,Wednesday,Weekday
11/1/2023 04:30,Revere Beach,Blue Line,1,3,Wednesday,Weekday
11/1/2023 04:30,Revere Beach,Blue Line,1,0,Wednesday,Weekday
11/1/2023 04:30,State Street,Blue Line,0,0,Wednesday,Weekday
11/1/2023 04:30,State Street,Blue Line,0,0,Wednesday,Weekday
11/1/2023 04:30,State Street,Blue Line,0,0,Wednesday,Weekday
11/1/2023 04:30,State Street,Blue Line,0,1,Wednesday,Weekday
11/1/2023 04:30,Suffolk Downs,Blue Line,1,1,Wednesday,Weekday
11/1/2023 04:30,Suffolk Downs,Blue Line,0,2,Wednesday,Weekday
11/1/2023 04:30,Wonderland,Blue Line,0,2,Wednesday,Weekday
11/1/2023 04:30,Wonderland,Blue Line,1,5,Wednesday,Weekday
11/1/2023 04:30,Wood Island,Blue Line,0,3,Wednesday,Weekday
11/1/2023 04:30,State Street,Orange Line,0,1,Wednesday,Weekday
11/1/2023 04:30,State Street,Orange Line,0,1,Wednesday,Weekday
11/1/2023 04:30,State Street,Orange Line,1,1,Wednesday,Weekday
11/1/2023 04:30,State Street,Orange Line,3,7,Wednesday,Weekday
11/1/2023 04:30,South Station,Silver Line,0,1,Wednesday,Weekday
11/1/2023 04:30,South Station,Silver Line,0,0,Wednesday,Weekday
11/1/2023 04:30,World Trade Center,Silver Line,0,1,Wednesday,Weekday
11/1/2023 04:30,World Trade Center,Silver Line,0,2,Wednesday,Weekday
11/1/2023 05:00,Airport,Blue Line,5,1,Wednesday,Weekday
11/1/2023 05:00,Airport,Blue Line,43,13,Wednesday,Weekday
11/1/2023 05:00,Airport,Blue Line,1,41,Wednesday,Weekday
11/1/2023 05:00,Airport,Blue Line,2,61,Wednesday,Weekday
11/1/2023 05:00,Aquarium,Blue Line,7,2,Wednesday,Weekday
11/1/2023 05:00,Aquarium,Blue Line,4,1,Wednesday,Weekday
11/1/2023 05:00,Aquarium,Blue Line,10,2,Wednesday,Weekday
11/1/2023 05:00,Beachmont,Blue Line,0,34,Wednesday,Weekday
11/1/2023 05:00,Beachmont,Blue Line,3,57,Wednesday,Weekday
11/1/2023 05:00,Beachmont,Blue Line,0,24,Wednesday,Weekday
11/1/2023 05:00,Bowdoin,Blue Line,1,1,Wednesday,Weekday
11/1/2023 05:00,Bowdoin,Blue Line,11,2,Wednesday,Weekday
11/1/2023 05:00,Government Center,Blue Line,1,2,Wednesday,Weekday
11/1/2023 05:00,Government Center,Blue Line,0,0,Wednesday,Weekday
11/1/2023 05:00,Government Center,Blue Line,0,0,Wednesday,Weekday
11/1/2023 05:00,Maverick,Blue Line,2,2,Wednesday,Weekday
11/1/2023 05:00,Maverick,Blue Line,15,151,Wednesday,Weekday
11/1/2023 05:00,Maverick,Blue Line,0,1,Wednesday,Weekday
11/1/2023 05:00,Maverick,Blue Line,1,33,Wednesday,Weekday
11/1/2023 05:00,Orient Heights,Blue Line,0,33,Wednesday,Weekday
11/1/2023 05:00,Orient Heights,Blue Line,1,39,Wednesday,Weekday
11/1/2023 05:00,Orient Heights,Blue Line,0,1,Wednesday,Weekday
11/1/2023 05:00,Orient Heights,Blue Line,0,73,Wednesday,Weekday
11/1/2023 05:00,Revere Beach,Blue Line,1,7,Wednesday,Weekday
11/1/2023 05:00,Revere Beach,Blue Line,0,128,Wednesday,Weekday
11/1/2023 05:00,Revere Beach,Blue Line,1,2,Wednesday,Weekday
11/1/2023 05:00,State Street,Blue Line,0,0,Wednesday,Weekday
11/1/2023 05:00,State Street,Blue Line,1,0,Wednesday,Weekday
11/1/2023 05:00,State Street,Blue Line,0,0,Wednesday,Weekday
11/1/2023 05:00,State Street,Blue Line,3,1,Wednesday,Weekday
11/1/2023 05:00,Suffolk Downs,Blue Line,0,1,Wednesday,Weekday
11/1/2023 05:00,Suffolk Downs,Blue Line,0,7,Wednesday,Weekday
11/1/2023 05:00,Suffolk Downs,Blue Line,0,2,Wednesday,Weekday
11/1/2023 05:00,Wonderland,Blue Line,1,32,Wednesday,Weekday
11/1/2023 05:00,Wonderland,Blue Line,1,80,Wednesday,Weekday
11/1/2023 05:00,Wonderland,Blue Line,0,35,Wednesday,Weekday
11/1/2023 05:00,Wood Island,Blue Line,2,38,Wednesday,Weekday
11/1/2023 05:00,Wood Island,Blue Line,4,6,Wednesday,Weekday
11/1/2023 05:00,Government Center,Green Line,8,18,Wednesday,Weekday
11/1/2023 05:00,Government Center,Green Line,4,2,Wednesday,Weekday
11/1/2023 05:00,Government Center,Green Line,0,2,Wednesday,Weekday
11/1/2023 05:00,State Street,Orange Line,1,1,Wednesday,Weekday
11/1/2023 05:00,State Street,Orange Line,9,4,Wednesday,Weekday
11/1/2023 05:00,State Street,Orange Line,0,3,Wednesday,Weekday
11/1/2023 05:00,State Street,Orange Line,28,8,Wednesday,Weekday
11/1/2023 05:00,Courthouse,Silver Line,3,0,Wednesday,Weekday
11/1/2023 05:00,Courthouse,Silver Line,1,3,Wednesday,Weekday
11/1/2023 05:00,Courthouse,Silver Line,3,1,Wednesday,Weekday
11/1/2023 05:00,South Station,Silver Line,2,18,Wednesday,Weekday
11/1/2023 05:00,South Station,Silver Line,0,1,Wednesday,Weekday
11/1/2023 05:00,World Trade Center,Silver Line,1,2,Wednesday,Weekday
11/1/2023 05:00,World Trade Center,Silver Line,0,1,Wednesday,Weekday
11/1/2023 05:30,Airport,Blue Line,4,2,Wednesday,Weekday
11/1/2023 05:30,Airport,Blue Line,85,25,Wednesday,Weekday
11/1/2023 05:30,Airport,Blue Line,0,63,Wednesday,Weekday
11/1/2023 05:30,Airport,Blue Line,4,90,Wednesday,Weekday
11/1/2023 05:30,Aquarium,Blue Line,38,2,Wednesday,Weekday
11/1/2023 05:30,Aquarium,Blue Line,11,5,Wednesday,Weekday
11/1/2023 05:30,Aquarium,Blue Line,37,3,Wednesday,Weekday
11/1/2023 05:30,Beachmont,Blue Line,0,38,Wednesday,Weekday
11/1/2023 05:30,Beachmont,Blue Line,2,61,Wednesday,Weekday
11/1/2023 05:30,Beachmont,Blue Line,1,39,Wednesday,Weekday
11/1/2023 05:30,Bowdoin,Blue Line,25,5,Wednesday,Weekday
11/1/2023 05:30,Bowdoin,Blue Line,50,0,Wednesday,Weekday
11/1/2023 05:30,Government Center,Blue Line,4,2,Wednesday,Weekday
11/1/2023 05:30,Government Center,Blue Line,2,0,Wednesday,Weekday
11/1/2023 05:30,Government Center,Blue Line,0,0,Wednesday,Weekday
11/1/2023 05:30,Maverick,Blue Line,1,2,Wednesday,Weekday
11/1/2023 05:30,Maverick,Blue Line,16,236,Wednesday,Weekday
11/1/2023 05:30,Maverick,Blue Line,2,0,Wednesday,Weekday
11/1/2023 05:30,Maverick,Blue Line,32,60,Wednesday,Weekday
11/1/2023 05:30,Orient Heights,Blue Line,1,27,Wednesday,Weekday
11/1/2023 05:30,Orient Heights,Blue Line,0,40,Wednesday,Weekday
11/1/2023 05:30,Orient Heights,Blue Line,1,10,Wednesday,Weekday
11/1/2023 05:30,Orient Heights,Blue Line,2,72,Wednesday,Weekday
11/1/2023 05:30,Revere Beach,Blue Line,0,6,Wednesday,Weekday
11/1/2023 05:30,Revere Beach,Blue Line,1,126,Wednesday,Weekday
11/1/2023 05:30,Revere Beach,Blue Line,1,7,Wednesday,Weekday
11/1/2023 05:30,State Street,Blue Line,0,0,Wednesday,Weekday
11/1/2023 05:30,State Street,Blue Line,7,1,Wednesday,Weekday
11/1/2023 05:30,State Street,Blue Line,0,0,Wednesday,Weekday
11/1/2023 05:30,State Street,Blue Line,13,2,Wednesday,Weekday
11/1/2023 05:30,Suffolk Downs,Blue Line,1,7,Wednesday,Weekday
11/1/2023 05:30,Suffolk Downs,Blue Line,0,24,Wednesday,Weekday
11/1/2023 05:30,Suffolk Downs,Blue Line,0,5,Wednesday,Weekday
11/1/2023 05:30,Wonderland,Blue Line,0,34,Wednesday,Weekday
11/1/2023 05:30,Wonderland,Blue Line,3,101,Wednesday,Weekday
11/1/2023 05:30,Wonderland,Blue Line,0,40,Wednesday,Weekday
11/1/2023 05:30,Wood Island,Blue Line,13,61,Wednesday,Weekday
11/1/2023 05:30,Wood Island,Blue Line,3,5,Wednesday,Weekday
11/1/2023 05:30,Government Center,Green Line,34,22,Wednesday,Weekday
11/1/2023 05:30,Government Center,Green Line,19,3,Wednesday,Weekday
11/1/2023 05:30,Government Center,Green Line,0,1,Wednesday,Weekday
11/1/2023 05:30,State Street,Orange Line,2,2,Wednesday,Weekday
11/1/2023 05:30,State Street,Orange Line,58,6,Wednesday,Weekday
11/1/2023 05:30,State Street,Orange Line,3,3,Wednesday,Weekday
11/1/2023 05:30,State Street,Orange Line,114,13,Wednesday,Weekday
11/1/2023 05:30,Courthouse,Silver Line,11,1,Wednesday,Weekday
11/1/2023 05:30,Courthouse,Silver Line,11,1,Wednesday,Weekday
11/1/2023 05:30,Courthouse,Silver Line,19,1,Wednesday,Weekday
11/1/2023 05:30,South Station,Silver Line,20,43,Wednesday,Weekday
11/1/2023 05:30,South Station,Silver Line,6,2,Wednesday,Weekday
11/1/2023 05:30,World Trade Center,Silver Line,4,4,Wednesday,Weekday
11/1/2023 05:30,World Trade Center,Silver Line,9,6,Wednesday,Weekday
11/1/2023 05:30,World Trade Center,Silver Line,4,6,Wednesday,Weekday
11/1/2023 06:00,Airport,Blue Line,3,2,Wednesday,Weekday
11/1/2023 06:00,Airport,Blue Line,78,31,Wednesday,Weekday
11/1/2023 06:00,Airport,Blue Line,7,62,Wednesday,Weekday
11/1/2023 06:00,Airport,Blue Line,3,124,Wednesday,Weekday
11/1/2023 06:00,Aquarium,Blue Line,18,3,Wednesday,Weekday
11/1/2023 06:00,Aquarium,Blue Line,13,8,Wednesday,Weekday
11/1/2023 06:00,Aquarium,Blue Line,33,8,Wednesday,Weekday
11/1/2023 06:00,Beachmont,Blue Line,0,33,Wednesday,Weekday
11/1/2023 06:00,Beachmont,Blue Line,26,106,Wednesday,Weekday
11/1/2023 06:00,Beachmont,Blue Line,0,30,Wednesday,Weekday
11/1/2023 06:00,Bowdoin,Blue Line,27,6,Wednesday,Weekday
11/1/2023 06:00,Bowdoin,Blue Line,33,5,Wednesday,Weekday
11/1/2023 06:00,Government Center,Blue Line,4,3,Wednesday,Weekday
11/1/2023 06:00,Government Center,Blue Line,3,0,Wednesday,Weekday
11/1/2023 06:00,Maverick,Blue Line,1,1,Wednesday,Weekday
11/1/2023 06:00,Maverick,Blue Line,29,293,Wednesday,Weekday
11/1/2023 06:00,Maverick,Blue Line,0,5,Wednesday,Weekday
11/1/2023 06:00,Maverick,Blue Line,26,85,Wednesday,Weekday
11/1/2023 06:00,Orient Heights,Blue Line,1,21,Wednesday,Weekday
11/1/2023 06:00,Orient Heights,Blue Line,3,77,Wednesday,Weekday
11/1/2023 06:00,Orient Heights,Blue Line,3,15,Wednesday,Weekday
11/1/2023 06:00,Orient Heights,Blue Line,1,94,Wednesday,Weekday
11/1/2023 06:00,Revere Beach,Blue Line,0,10,Wednesday,Weekday
11/1/2023 06:00,Revere Beach,Blue Line,3,145,Wednesday,Weekday
11/1/2023 06:00,Revere Beach,Blue Line,2,1,Wednesday,Weekday
11/1/2023 06:00,State Street,Blue Line,0,0,Wednesday,Weekday
11/1/2023 06:00,State Street,Blue Line,5,1,Wednesday,Weekday
11/1/2023 06:00,State Street,Blue Line,0,0,Wednesday,Weekday
11/1/2023 06:00,State Street,Blue Line,15,2,Wednesday,Weekday
11/1/2023 06:00,Suffolk Downs,Blue Line,0,6,Wednesday,Weekday
11/1/2023 06:00,Suffolk Downs,Blue Line,2,25,Wednesday,Weekday
11/1/2023 06:00,Suffolk Downs,Blue Line,1,5,Wednesday,Weekday
11/1/2023 06:00,Wonderland,Blue Line,0,69,Wednesday,Weekday
11/1/2023 06:00,Wonderland,Blue Line,8,186,Wednesday,Weekday
11/1/2023 06:00,Wonderland,Blue Line,1,42,Wednesday,Weekday
11/1/2023 06:00,Wood Island,Blue Line,10,71,Wednesday,Weekday
11/1/2023 06:00,Wood Island,Blue Line,2,5,Wednesday,Weekday
11/1/2023 06:00,Government Center,Green Line,38,25,Wednesday,Weekday
11/1/2023 06:00,Government Center,Green Line,27,4,Wednesday,Weekday
11/1/2023 06:00,State Street,Orange Line,0,3,Wednesday,Weekday
11/1/2023 06:00,State Street,Orange Line,47,6,Wednesday,Weekday
11/1/2023 06:00,State Street,Orange Line,1,1,Wednesday,Weekday
11/1/2023 06:00,State Street,Orange Line,133,13,Wednesday,Weekday
11/1/2023 06:00,Courthouse,Silver Line,11,3,Wednesday,Weekday
11/1/2023 06:00,Courthouse,Silver Line,17,3,Wednesday,Weekday
11/1/2023 06:00,Courthouse,Silver Line,26,4,Wednesday,Weekday
11/1/2023 06:00,South Station,Silver Line,27,80,Wednesday,Weekday
11/1/2023 06:00,South Station,Silver Line,6,3,Wednesday,Weekday
11/1/2023 06:00,World Trade Center,Silver Line,7,8,Wednesday,Weekday
11/1/2023 06:00,World Trade Center,Silver Line,23,4,Wednesday,Weekday
11/1/2023 06:00,World Trade Center,Silver Line,11,4,Wednesday,Weekday
11/1/2023 06:30,Airport,Blue Line,14,4,Wednesday,Weekday
11/1/2023 06:30,Airport,Blue Line,127,56,Wednesday,Weekday
